Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Inactivo;DV;;;caprot-vm-dc-02;DVNE-INFRA-RG-CAPROTONV2-01;DDD-DV;North Europe;Standard_B2ms;
Inactivo;DV;;;caprot-vm-dc-03;dvne-infra-rg-caprotonv2-01;DDD-DV;North Europe;Standard_B2ms;
Inactivo;DV;;;caprot-vm-fs-01;dvne-infra-rg-caprotonv2-01;DDD-DV;North Europe;Standard_B2s;
Inactivo;DV;;;caprot-vm-rm-01;DVNE-INFRA-RG-CAPROTONV2-01;DDD-DV;North Europe;Standard_B2ms;
Agendamento em progresso;DV;CA Lab;;DCBLCLAB;DCSRECOVERY-LAB-RG;CAS-CALAB-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;CA Lab;;DCCALAB;DCSRECOVERY-LAB-RG;CAS-CALAB-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;CA Lab;;DCRecoveryHyper;DCSRECOVERY-LAB-RG;CAS-CALAB-DV;North Europe;Standard_D4s_v4;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;DR;;;draadcodatsql01;WE-DR-AADCO-NET-RG;DSP-Infra-PR;West Europe;Standard_D4ds_v5;
Inactivo;DR;;;draadcoinfmng01;WE-DR-AADCO-NET-RG;DSP-Infra-PR;West Europe;Standard_D4ds_v5;
Inactivo;DR;;;drazdcsblcadc01;we-dr-azdcs-int-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Inactivo;DR;;;drazdcsblcadc02;we-dr-azdcs-int-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Inactivo;DR;;;drazdcscoradc01;we-dr-azdcs-cor-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Inactivo;DR;;;drazdcscoradc02;we-dr-azdcs-cor-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Inactivo;DR;;;drazdcsintadc01;we-dr-azdcs-int-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Inactivo;DR;;;drazdcsintadc02;we-dr-azdcs-int-rg;DSP-CA AZDCS-PR;West Europe;Standard_D2s_v5;
Agendamento em progresso;QL;CA Mobile Particulares;Rui Lopes;qlmbparomsaut01;ne-qa-camob-rg-01;DDA AEA QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
